,Player,Team,POS,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,4S,6S,Year
37,Ruturaj Gaikwad,CSK,38,6,6,2,204,72,51.0,169,120.71,0,3,16,6,2020
38,MS Dhoni,CSK,39,14,12,4,200,47*,25.0,172,116.27,0,0,16,7,2020
39,Robin Uthappa,RR,40,12,12,0,196,41,16.33,164,119.51,0,0,19,7,2020
40,Sam Curran,CSK,41,14,11,3,186,52,23.25,141,131.91,0,1,12,12,2020
41,Shimron Hetmyer,DC,42,12,11,3,185,45,23.12,125,148.0,0,0,11,12,2020
42,Dinesh Karthik,KKR,43,14,14,2,169,58,14.08,134,126.11,0,1,20,4,2020
43,Pat Cummins,KKR,44,14,11,4,146,53*,20.85,114,128.07,0,1,9,8,2020
44,Priyam Garg,SRH,45,14,10,1,133,51*,14.77,111,119.81,0,1,9,4,2020
45,Mandeep Singh,PBKS,46,7,7,1,130,66*,21.66,109,119.26,0,1,10,4,2020
46,Shivam Dube,RCB,47,11,9,2,129,27*,18.42,105,122.85,0,0,5,9,2020
47,Sunil Narine,KKR,48,10,9,0,121,64,13.44,85,142.35,0,1,10,8,2020
48,Andre Russell,KKR,49,10,9,0,117,25,13.0,81,144.44,0,0,9,9,2020
49,Axar Patel,DC,50,15,9,1,117,42,14.62,85,137.64,0,0,6,8,2020
50,Ajinkya Rahane,DC,51,9,8,0,113,60,14.12,107,105.6,0,1,12,2,2020
51,Jofra Archer,RR,52,14,10,4,113,27*,18.83,63,179.36,0,0,5,10,2020
52,Abdul Samad,SRH,53,12,8,3,111,33,22.2,65,170.76,0,0,8,6,2020
53,Washington Sundar,RCB,54,15,9,3,111,30,18.5,95,116.84,0,0,10,2,2020
54,Krunal Pandya,MI,55,16,12,6,109,34,18.16,92,118.47,0,0,9,5,2020
55,Glenn Maxwell,PBKS,56,13,11,4,108,32,15.42,106,101.88,0,0,9,0,2020
56,Saurabh Tiwary,MI,57,7,5,0,103,42,20.6,80,128.75,0,0,8,3,2020
57,Deepak Hooda,PBKS,58,7,5,4,101,62*,101.0,71,142.25,0,1,5,5,2020
58,Vijay Shankar,SRH,59,7,5,1,97,52*,24.25,96,101.04,0,1,10,1,2020
59,Riyan Parag,RR,60,12,8,1,86,42*,12.28,77,111.68,0,0,6,3,2020
60,Tom Curran,RR,61,5,4,3,83,54*,83.0,62,133.87,0,1,5,3,2020
61,Josh Philippe,RCB,62,5,5,1,78,33,19.5,77,101.29,0,0,9,1,2020
62,Abhishek Sharma,SRH,63,8,7,2,71,31,14.2,56,126.78,0,0,6,3,2020
63,Gurkeerat Mann Singh,RCB,64,8,5,5,71,21*,0.0,80,88.75,0,0,8,0,2020
64,Jason Holder,SRH,65,7,4,2,66,26*,33.0,53,124.52,0,0,5,3,2020
65,Kedar Jadhav,CSK,66,8,5,2,62,26,20.66,66,93.93,0,0,7,0,2020
66,Mahipal Lomror,RR,67,3,3,0,59,47,19.66,54,109.25,0,0,2,3,2020
67,Kagiso Rabada,DC,68,17,8,4,56,15*,14.0,49,114.28,0,0,4,2,2020
68,Lockie Ferguson,KKR,69,5,2,2,43,24*,0.0,29,148.27,0,0,4,1,2020
69,Krishnappa Gowtham,PBKS,70,2,2,1,42,22*,42.0,27,155.55,0,0,3,2,2020
70,Yashasvi Jaiswal,RR,71,3,3,0,40,34,13.33,44,90.9,0,0,2,2,2020
71,Shreyas Gopal,RR,72,14,5,1,37,23*,9.25,39,94.87,0,0,3,0,2020
72,Ravichandran Ashwin,DC,73,15,6,3,37,14*,12.33,34,108.82,0,0,3,1,2020
73,Rashid Khan,SRH,74,16,7,3,35,14,8.75,30,116.66,0,0,3,2,2020
74,Chris Morris,RCB,75,9,5,1,34,25*,8.5,21,161.9,0,0,2,3,2020
75,Narayan Jagadeesan,CSK,76,5,2,0,33,33,16.5,29,113.79,0,0,4,0,2020
76,Sarfaraz Khan,PBKS,77,5,3,1,33,14*,16.5,29,113.79,0,0,5,0,2020
77,Alex Carey,DC,78,3,3,1,32,14*,16.0,29,110.34,0,0,0,1,2020
78,Murali Vijay,CSK,79,3,3,0,32,21,10.66,43,74.41,0,0,4,0,2020
79,Chris Jordan,PBKS,80,9,5,2,29,13,9.66,31,93.54,0,0,2,0,2020
80,Navdeep Saini,RCB,81,13,3,2,27,12*,27.0,27,100.0,0,0,3,0,2020
81,Nathan Coulter-Nile,MI,82,7,2,1,25,24*,25.0,15,166.66,0,0,4,0,2020
82,Kamlesh Nagarkoti,KKR,83,10,6,3,22,8*,7.33,31,70.96,0,0,1,0,2020
83,Harshal Patel,DC,84,5,2,0,21,16,10.5,24,87.5,0,0,2,0,2020
84,Tushar Deshpande,DC,85,5,2,1,21,20*,21.0,12,175.0,0,0,2,1,2020
85,Jimmy Neesham,PBKS,86,5,3,1,19,10*,9.5,18,105.55,0,0,0,1,2020
86,Tom Banton,KKR,87,2,2,0,18,10,9.0,20,90.0,0,0,1,1,2020
87,Mohammed Siraj,RCB,88,9,3,2,17,10*,17.0,14,121.42,0,0,2,0,2020
88,Karun Nair,PBKS,89,4,3,1,16,15*,8.0,14,114.28,0,0,2,0,2020
89,Prabhsimran Singh,PBKS,90,2,2,0,15,11,7.5,15,100.0,0,0,2,0,2020
90,Isuru Udana,RCB,91,10,4,1,15,10*,5.0,11,136.36,0,0,1,1,2020
91,James Pattinson,MI,92,10,2,1,15,11,15.0,13,115.38,0,0,2,0,2020
92,Imran Tahir,CSK,93,3,1,1,13,13*,0.0,10,130.0,0,0,2,0,2020
93,Kuldeep Yadav,KKR,94,5,2,1,13,12,13.0,21,61.9,0,0,1,0,2020
94,Moeen Ali,RCB,95,3,3,0,12,11,4.0,16,75.0,0,0,1,0,2020
95,Shardul Thakur,CSK,96,9,2,1,12,11,12.0,21,57.14,0,0,0,0,2020
96,Sandeep Sharma,SRH,97,13,5,3,12,9,6.0,15,80.0,0,0,1,0,2020
97,Mohammad Nabi,SRH,98,1,1,1,11,11*,0.0,8,137.5,0,0,2,0,2020
98,Rinku Singh,KKR,99,1,1,0,11,11,11.0,11,100.0,0,0,1,0,2020
99,Shivam Mavi,KKR,100,8,3,1,10,9,5.0,14,71.42,0,0,1,0,2020
100,Varun Chakaravarthy,KKR,101,13,3,1,10,7*,5.0,15,66.66,0,0,0,0,2020
101,Ankit Rajpoot,RR,102,6,2,1,9,7*,9.0,10,90.0,0,0,0,1,2020
102,Jaydev Unadkat,RR,103,7,1,0,9,9,9.0,13,69.23,0,0,0,0,2020
103,Pravin Dubey,DC,104,3,1,1,7,7*,0.0,13,53.84,0,0,0,0,2020
104,Dwayne Bravo,CSK,105,6,2,0,7,7,3.5,6,116.66,0,0,0,0,2020
105,Shahbaz Nadeem,SRH,106,7,2,1,7,5,7.0,8,87.5,0,0,1,0,2020
106,Deepak Chahar,CSK,107,14,3,2,7,5*,7.0,12,58.33,0,0,0,0,2020
107,Ravi Bishnoi,PBKS,108,14,3,2,7,6*,7.0,12,58.33,0,0,1,0,2020
108,Anrich Nortje,DC,109,16,5,4,7,3*,7.0,6,116.66,0,0,0,0,2020
109,Andrew Tye,RR,110,1,1,0,6,6,6.0,6,100.0,0,0,0,1,2020
110,Jasprit Bumrah,MI,111,15,1,1,5,5*,0.0,3,166.66,0,0,0,0,2020
111,Murugan Ashwin,PBKS,112,9,1,0,4,4,4.0,4,100.0,0,0,0,0,2020
112,Kartik Tyagi,RR,113,10,3,2,4,2*,4.0,6,66.66,0,0,0,0,2020
113,Dhawal Kulkarni,MI,114,1,1,1,3,3*,0.0,2,150.0,0,0,0,0,2020
114,T Natarajan,SRH,115,16,3,3,3,3*,0.0,5,60.0,0,0,0,0,2020
115,Prasidh Krishna,KKR,116,6,2,2,2,2*,0.0,4,50.0,0,0,0,0,2020
116,Mohammad Shami,PBKS,117,14,3,2,2,2*,2.0,3,66.66,0,0,0,0,2020
117,Rahul Chahar,MI,118,15,1,1,2,2*,0.0,4,50.0,0,0,0,0,2020
118,Nikhil Naik,KKR,119,1,1,0,1,1,1.0,3,33.33,0,0,0,0,2020
119,Mujeeb Ur Rahman,PBKS,120,2,1,0,1,1,1.0,3,33.33,0,0,0,0,2020
120,Shahbaz Ahmed,RCB,121,2,1,1,1,1*,0.0,1,100.0,0,0,0,0,2020
121,Dale Steyn,RCB,122,3,1,1,1,1*,0.0,2,50.0,0,0,0,0,2020
122,Varun Aaron,RR,123,3,2,1,1,1,1.0,10,10.0,0,0,0,0,2020
123,Yuzvendra Chahal,RCB,124,15,2,1,1,1,1.0,3,33.33,0,0,0,0,2020
124,Mitchell Marsh,SRH,125,1,1,0,0,0*,0.0,1,0.0,0,0,0,0,2020
125,Shreevats Goswami,SRH,126,2,2,0,0,0*,0.0,4,0.0,0,0,0,0,2020
126,Umesh Yadav,RCB,127,2,1,0,0,0*,0.0,2,0.0,0,0,0,0,2020
127,Daniel Sams,DC,128,3,1,0,0,0*,0.0,2,0.0,0,0,0,0,2020
128,Bhuvneshwar Kumar,SRH,129,4,1,0,0,0*,0.0,2,0.0,0,0,0,0,2020
129,Sheldon Cottrell,PBKS,130,6,1,0,0,0*,0.0,2,0.0,0,0,0,0,2020
130,Khaleel Ahmed,SRH,131,7,1,0,0,0*,0.0,2,0.0,0,0,0,0,2020
131,Arshdeep Singh,PBKS,132,8,1,0,0,0*,0.0,3,0.0,0,0,0,0,2020
132,Trent Boult,MI,133,15,1,0,0,0*,0.0,1,0.0,0,0,0,0,2020
0,Ruturaj Gaikwad,CSK,1,16,16,2,635,101*,45.35,466,136.26,1,4,64,23,2021
1,Faf du Plessis,CSK,2,16,16,2,633,95*,45.21,458,138.2,0,6,60,23,2021
2,KL Rahul,PBKS,3,13,13,3,626,98*,62.6,451,138.8,0,6,48,30,2021
3,Shikhar Dhawan,DC,4,16,16,1,587,92,39.13,471,124.62,0,3,63,16,2021
4,Glenn Maxwell,RCB,5,15,14,2,513,78,42.75,356,144.1,0,6,48,21,2021
5,Sanju Samson,RR,6,14,14,2,484,119,40.33,354,136.72,1,2,45,17,2021
6,Prithvi Shaw,DC,7,15,15,0,479,82,31.93,301,159.13,0,4,56,18,2021
7,Shubman Gill,KKR,8,17,17,0,478,57,28.11,402,118.9,0,3,50,12,2021
8,Mayank Agarwal,PBKS,9,12,12,1,441,99*,40.09,314,140.44,0,4,42,18,2021
9,Rishabh Pant,DC,10,16,16,4,419,58*,34.91,326,128.52,0,3,42,10,2021
10,Devdutt Padikkal,RCB,11,14,14,1,411,101*,31.61,328,125.3,1,1,44,14,2021
11,Virat Kohli,RCB,12,15,15,1,405,72*,28.92,339,119.46,0,3,43,9,2021
12,Rahul Tripathi,KKR,13,17,16,2,397,74*,28.35,283,140.28,0,2,41,11,2021
13,Nitish Rana,KKR,14,17,16,3,383,80,29.46,314,121.97,0,2,34,17,2021
14,Rohit Sharma,MI,15,13,13,0,381,63,29.3,299,127.42,0,1,33,14,2021
15,Venkatesh Iyer,KKR,16,10,10,1,370,67,41.11,288,128.47,0,4,37,14,2021
16,Moeen Ali,CSK,17,15,15,1,357,58,25.5,260,137.3,0,1,31,19,2021
17,Suryakumar Yadav,MI,18,14,14,0,317,82,22.64,221,143.43,0,2,40,10,2021
18,AB de Villiers,RCB,19,15,14,4,313,76*,31.3,211,148.34,0,2,23,16,2021
19,Quinton de Kock,MI,20,11,11,1,297,70*,29.7,256,116.01,0,2,29,7,2021
20,Manish Pandey,SRH,21,8,8,2,292,69*,48.66,236,123.72,0,3,21,10,2021
21,Kane Williamson,SRH,22,10,10,4,266,66*,44.33,235,113.19,0,2,29,2,2021
22,Ambati Rayudu,CSK,23,16,13,4,257,72*,28.55,170,151.17,0,2,16,17,2021
23,Jos Buttler,RR,24,7,7,0,254,124,36.28,166,153.01,1,0,27,13,2021
24,Yashasvi Jaiswal,RR,25,10,10,0,249,50,24.9,168,148.21,0,1,32,10,2021
25,Jonny Bairstow,SRH,26,7,7,1,248,63*,41.33,175,141.71,0,2,20,15,2021
26,Kieron Pollard,MI,27,14,13,5,245,87*,30.62,165,148.48,0,1,16,16,2021
27,Shimron Hetmyer,DC,28,14,13,6,242,53*,34.57,144,168.05,0,1,19,12,2021
28,Ishan Kishan,MI,29,10,10,1,241,84,26.77,180,133.88,0,2,21,10,2021
29,Shivam Dube,RR,30,9,9,1,230,64*,28.75,193,119.17,0,1,18,10,2021
30,Ravindra Jadeja,CSK,31,16,12,9,227,62*,75.66,156,145.51,0,1,19,9,2021
31,Dinesh Karthik,KKR,32,17,15,5,223,40,22.3,170,131.17,0,0,22,7,2021
32,David Warner,SRH,33,8,8,0,195,57,24.37,181,107.73,0,2,15,6,2021
33,Chris Gayle,PBKS,34,10,10,1,193,46,21.44,154,125.32,0,0,21,8,2021
34,K.S Bharat,RCB,35,8,7,2,191,78*,38.2,156,122.43,0,1,10,8,2021
35,Andre Russell,KKR,36,10,9,2,183,54,26.14,120,152.5,0,1,14,14,2021
36,Shreyas Iyer,DC,37,8,8,3,175,47*,35.0,171,102.33,0,0,7,5,2021
37,Deepak Hooda,PBKS,38,12,11,1,160,64,16.0,123,130.08,0,1,9,9,2021
38,Suresh Raina,CSK,39,12,11,2,160,54,17.77,128,125.0,0,1,13,9,2021
39,Rahul Tewatia,RR,40,14,11,1,155,44,15.5,147,105.44,0,0,11,6,2021
40,Shahrukh Khan,PBKS,41,11,10,3,153,47,21.85,114,134.21,0,0,9,10,2021
41,Steve Smith,DC,42,8,7,1,152,39,25.33,135,112.59,0,0,13,2,2021
42,Evin Lewis,RR,43,5,5,0,151,58,30.2,93,162.36,0,1,18,7,2021
43,Jason Roy,SRH,44,5,5,0,150,60,30.0,121,123.96,0,1,21,1,2021
44,Aiden Markram,PBKS,45,6,6,1,146,42,29.2,119,122.68,0,0,12,4,2021
45,Krunal Pandya,MI,46,13,12,2,143,39,14.3,123,116.26,0,0,10,6,2021
46,Eoin Morgan,KKR,47,17,16,4,133,47*,11.08,139,95.68,0,0,8,6,2021
47,Wriddhiman Saha,SRH,48,9,9,0,131,44,14.55,140,93.57,0,0,7,5,2021
48,Hardik Pandya,MI,49,12,11,2,127,40*,14.11,112,113.39,0,0,11,5,2021
49,David Miller,RR,50,9,8,3,124,62,24.8,113,109.73,0,1,11,3,2021
50,Robin Uthappa,CSK,51,4,4,0,115,63,28.75,84,136.9,0,1,8,5,2021
51,Saurabh Tiwary,MI,52,5,4,2,115,50*,57.5,97,118.55,0,1,10,2,2021
52,MS Dhoni,CSK,53,16,11,4,114,18*,16.28,107,106.54,0,0,12,3,2021
53,Abdul Samad,SRH,54,11,10,1,111,28,12.33,87,127.58,0,0,4,8,2021
54,Abhishek Sharma,SRH,55,8,7,1,98,33,16.33,75,130.66,0,0,7,4,2021
55,Mahipal Lomror,RR,56,4,4,1,94,43,31.33,73,128.76,0,0,3,6,2021
56,Pat Cummins,KKR,57,7,5,2,93,66*,31.0,56,166.07,0,1,5,8,2021
57,Riyan Parag,RR,58,11,10,2,93,25,11.62,83,112.04,0,0,6,4,2021
58,Marcus Stoinis,DC,59,10,7,3,89,27*,22.25,72,123.61,0,0,11,1,2021
59,Jason Holder,SRH,60,8,7,1,85,47*,14.16,72,118.05,0,0,2,6,2021
60,Nicholas Pooran,PBKS,61,12,11,0,85,32,7.72,76,111.84,0,0,3,5,2021
61,Rashid Khan,SRH,62,14,10,2,83,22,10.37,69,120.28,0,0,9,2,2021
62,Priyam Garg,SRH,63,5,5,0,72,29,14.4,74,97.29,0,0,2,3,2021
63,Rajat Patidar,RCB,64,4,4,0,71,31,17.75,62,114.51,0,0,3,3,2021
64,Lalit Yadav,DC,65,7,5,3,68,22*,34.0,73,93.15,0,0,7,0,2021
65,Chris Morris,RR,66,11,7,2,67,36*,13.4,49,136.73,0,0,2,5,2021
66,Kyle Jamieson,RCB,67,9,7,3,65,16*,16.25,55,118.18,0,0,5,3,2021
67,Harpreet Brar,PBKS,68,7,5,5,64,25*,0.0,58,110.34,0,0,3,2,2021
68,Sunil Narine,KKR,69,14,10,2,62,26,7.75,47,131.91,0,0,3,5,2021
69,Shahbaz Ahmed,RCB,70,11,7,0,59,14,8.42,53,111.32,0,0,4,2,2021
70,Harshal Patel,RCB,71,15,8,4,59,31,14.75,46,128.26,0,0,6,2,2021
71,Vijay Shankar,SRH,72,7,5,0,58,28,11.6,52,111.53,0,0,1,3,2021
72,Sam Curran,CSK,73,9,4,1,56,34,18.66,29,193.1,0,0,5,3,2021
73,Kedar Jadhav,SRH,74,6,5,1,55,19,13.75,52,105.76,0,0,2,2,2021
74,Chris Lynn,MI,75,1,1,0,49,49,49.0,35,140.0,0,0,4,3,2021
75,Shakib Al Hasan,KKR,76,8,6,1,47,26,9.4,48,97.91,0,0,3,1,2021
76,Dwayne Bravo,CSK,77,11,3,2,47,23,47.0,18,261.11,0,0,3,4,2021
77,Ravichandran Ashwin,DC,78,13,5,2,44,20*,14.66,42,104.76,0,0,2,1,2021
78,Manan Vohra,RR,79,4,4,0,42,14,10.5,39,107.69,0,0,5,2,2021
79,Liam Livingstone,RR,80,5,5,0,42,25,8.4,41,102.43,0,0,3,1,2021
80,Jaydev Unadkat,RR,81,6,3,1,41,24,20.5,29,141.37,0,0,3,2,2021
81,Axar Patel,DC,82,12,6,1,40,12,8.0,46,86.95,0,0,2,1,2021
82,Mohammad Nabi,SRH,83,3,3,0,34,17,11.33,20,170.0,0,0,3,2,2021
83,Jayant Yadav,MI,84,5,3,1,34,23,17.0,26,130.76,0,0,2,1,2021
84,Bhuvneshwar Kumar,SRH,85,11,7,6,34,14*,34.0,30,113.33,0,0,3,0,2021
85,Chris Jordan,PBKS,86,4,2,0,32,30,16.0,21,152.38,0,0,1,3,2021
86,Moises Henriques,PBKS,87,5,4,2,31,14,15.5,32,96.87,0,0,0,1,2021
87,Washington Sundar,RCB,88,6,4,0,31,10,7.75,47,65.95,0,0,2,0,2021
88,Dawid Malan,PBKS,89,1,1,0,26,26,26.0,26,100.0,0,0,1,1,2021
89,Glenn Phillips,RR,90,3,3,1,26,14*,13.0,33,78.78,0,0,1,2,2021
90,Ripal Patel,DC,91,2,2,1,25,18,25.0,27,92.59,0,0,3,0,2021
91,Shivam Mavi,KKR,92,9,2,0,25,20,12.5,20,125.0,0,0,2,2,2021
92,Tom Curran,DC,93,3,2,1,21,21,21.0,17,123.52,0,0,2,0,2021
93,Mohammed Siraj,RCB,94,15,4,3,20,12*,20.0,26,76.92,0,0,1,1,2021
94,Prabhsimran Singh,PBKS,95,2,2,0,19,12,9.5,23,82.6,0,0,1,1,2021
95,Nathan Ellis,PBKS,96,3,2,1,18,12,18.0,16,112.5,0,0,0,1,2021
96,Lockie Ferguson,KKR,97,8,3,3,18,18*,0.0,11,163.63,0,0,1,1,2021
97,Anmolpreet Singh,MI,98,1,1,0,16,16,16.0,14,114.28,0,0,2,1,2021
98,Adam Milne,MI,99,4,3,1,16,15,8.0,17,94.11,0,0,0,1,2021
99,Chetan Sakariya,RR,100,14,6,1,16,7,3.2,25,64.0,0,0,2,0,2021
100,Jasprit Bumrah,MI,101,14,7,5,16,5*,8.0,17,94.11,0,0,2,0,2021
101,Mandeep Singh,PBKS,102,1,1,0,15,15,15.0,14,107.14,0,0,2,0,2021
102,Chris Woakes,DC,103,3,1,1,15,15*,0.0,11,136.36,0,0,2,0,2021
103,Jhye Richardson,PBKS,104,3,2,0,15,15,7.5,24,62.5,0,0,2,0,2021
104,Murugan Ashwin,PBKS,105,3,2,0,15,9,7.5,24,62.5,0,0,1,0,2021
105,Virat Singh,SRH,106,3,2,0,15,11,7.5,26,57.69,0,0,1,0,2021
106,Jagadeesha Suchith,SRH,107,2,1,1,14,14*,0.0,6,233.33,0,0,2,1,2021
107,Dan Christian,RCB,108,9,7,1,14,9,2.33,24,58.33,0,0,1,0,2021
108,Rahul Chahar,MI,109,11,5,0,14,8,2.8,15,93.33,0,0,1,0,2021
109,Mohammad Shami,PBKS,110,14,4,3,13,9*,13.0,17,76.47,0,0,0,0,2021
110,Kagiso Rabada,DC,111,15,3,2,13,9*,13.0,6,216.66,0,0,2,0,2021
111,Yuzvendra Chahal,RCB,112,15,2,2,10,8*,0.0,27,37.03,0,0,0,0,2021
112,Ajinkya Rahane,DC,113,2,1,0,8,8,8.0,8,100.0,0,0,1,0,2021
113,Sandeep Sharma,SRH,114,7,2,1,8,8*,8.0,7,114.28,0,0,1,0,2021
114,Siddarth Kaul,SRH,115,8,2,2,8,7*,0.0,8,100.0,0,0,1,0,2021
115,Mustafizur Rahman,RR,116,14,5,5,8,8*,0.0,14,57.14,0,0,0,1,2021
116,Sachin Baby,RCB,117,1,1,0,7,7,7.0,17,41.17,0,0,0,0,2021
117,Shreyas Gopal,RR,118,3,2,1,7,7*,7.0,5,140.0,0,0,0,1,2021
118,Daniel Sams,RCB,119,2,2,1,6,3*,6.0,6,100.0,0,0,0,0,2021
119,Fabian Allen,PBKS,120,4,3,2,6,6,6.0,12,50.0,0,0,0,0,2021
120,Avesh Khan,DC,121,16,1,1,5,5*,0.0,3,166.66,0,0,1,0,2021
121,Shardul Thakur,CSK,122,16,4,2,5,3*,2.5,5,100.0,0,0,0,0,2021
122,Harbhajan Singh,KKR,123,3,2,2,4,2*,0.0,4,100.0,0,0,0,0,2021
123,Nathan Coulter-Nile,MI,124,5,2,0,4,3,2.0,5,80.0,0,0,0,0,2021
124,Tim Southee,KKR,125,3,1,0,3,3,3.0,5,60.0,0,0,0,0,2021
125,Tabraiz Shamsi,RR,126,1,1,1,2,2*,0.0,4,50.0,0,0,0,0,2021
126,Tim Seifert,KKR,127,1,1,0,2,2,2.0,4,50.0,0,0,0,0,2021
127,Navdeep Saini,RCB,128,2,1,0,2,2,2.0,4,50.0,0,0,0,0,2021
128,Kartik Tyagi,RR,129,4,2,1,2,1*,2.0,4,50.0,0,0,0,0,2021
129,George Garton,RCB,130,5,3,2,2,2*,2.0,4,50.0,0,0,0,0,2021
130,Arshdeep Singh,PBKS,131,12,2,2,2,1*,0.0,3,66.66,0,0,0,0,2021
131,Varun Chakaravarthy,KKR,132,17,3,2,2,2*,2.0,4,50.0,0,0,0,0,2021
132,Mujeeb Ur Rahman,SRH,133,1,1,1,1,1*,0.0,1,100.0,0,0,0,0,2021
133,Tim David,RCB,134,1,1,0,1,1,1.0,3,33.33,0,0,0,0,2021
134,Wanindu Hasaranga,RCB,135,2,2,1,1,1*,1.0,2,50.0,0,0,0,0,2021
135,Khaleel Ahmed,SRH,136,7,1,0,1,1,1.0,2,50.0,0,0,0,0,2021
136,Ravi Bishnoi,PBKS,137,9,1,0,1,1,1.0,4,25.0,0,0,0,0,2021
137,Trent Boult,MI,138,14,4,4,1,1*,0.0,4,25.0,0,0,0,0,2021
138,Deepak Chahar,CSK,139,15,2,2,1,1*,0.0,1,100.0,0,0,0,0,2021
139,Ben Stokes,RR,140,1,1,0,0,0*,0.0,3,0.0,0,0,0,0,2021
140,Kamlesh Nagarkoti,KKR,141,1,1,0,0,0*,0.0,2,0.0,0,0,0,0,2021
141,Kuldip Yadav,RR,142,1,1,1,0,0*,0.0,4,0.0,0,0,0,0,2021
142,Piyush Chawla,MI,143,1,1,0,0,0*,0.0,2,0.0,0,0,0,0,2021
143,Shahbaz Nadeem,SRH,144,1,1,0,0,0*,0.0,1,0.0,0,0,0,0,2021
144,Anuj Rawat,RR,145,2,1,0,0,0*,0.0,1,0.0,0,0,0,0,2021
145,Marco Jansen,MI,146,2,2,0,0,0*,0.0,3,0.0,0,0,0,0,2021
146,Sarfaraz Khan,PBKS,147,2,2,0,0,0*,0.0,4,0.0,0,0,0,0,2021
147,Jimmy Neesham,MI,148,3,2,0,0,0*,0.0,2,0.0,0,0,0,0,2021
148,Prasidh Krishna,KKR,149,10,2,1,0,0*,0.0,1,0.0,0,0,0,0,2021
0,Jos Buttler,RR,1,17,17,2,863,116,57.53,579,149.05,4,4,83,45,2022
1,K L Rahul,LSG,2,15,15,3,616,103*,51.33,455,135.38,2,4,45,30,2022
2,Quinton De Kock,LSG,3,15,15,1,508,140*,36.29,341,148.97,1,3,47,23,2022
3,Hardik Pandya,GT,4,15,15,4,487,87*,44.27,371,131.26,0,4,49,12,2022
