,Player,Team,POS,MAT,INNS,OV,Runs Conceded,WKTS,BBI,AVG WKT,ECON,SR,4W,5W,Year
36,Navdeep Saini,RCB,37,13,13,45.0,379,6,2/24,63.16,8.29,45.66,0,0,2020
37,Sheldon Cottrell,PBKS,38,6,6,20.0,176,6,2/17,29.33,8.8,20.0,0,0,2020
38,Lockie Ferguson,KKR,39,5,5,20.0,148,6,3/15,24.66,7.46,19.83,0,0,2020
39,Ravindra Jadeja,CSK,40,14,13,36.0,318,6,5/16,53.0,8.75,36.33,0,0,2020
40,Krunal Pandya,MI,41,16,16,50.0,380,6,3/14,63.33,7.57,50.16,0,0,2020
41,Dwayne Bravo,CSK,42,6,6,21.0,180,6,4/22,30.0,8.57,21.0,0,0,2020
42,Andre Russell,KKR,43,10,7,18.0,175,6,5/15,29.16,9.72,18.0,0,0,2020
43,Shahbaz Nadeem,SRH,44,7,7,22.0,178,5,3/16,35.6,8.09,26.4,0,0,2020
44,Nathan Coulter-Nile,MI,45,7,7,26.0,206,5,4/14,41.2,7.92,31.2,0,0,2020
45,Karn Sharma,CSK,46,5,5,19.0,165,5,4/16,33.0,8.68,22.8,0,0,2020
46,Kamlesh Nagarkoti,KKR,47,10,9,26.0,231,5,2/13,46.2,8.88,31.2,0,0,2020
47,Sunil Narine,KKR,48,10,10,38.0,302,5,5/19,60.4,7.94,45.6,0,0,2020
48,Vijay Shankar,SRH,49,7,5,13.0,82,4,2/19,20.5,6.22,19.75,0,0,2020
49,Shivam Dube,RCB,50,11,5,9.0,73,4,2/15,18.25,8.11,13.5,0,0,2020
50,Kieron Pollard,MI,51,16,11,21.0,190,4,4/44,47.5,9.04,31.5,0,0,2020
51,Prasidh Krishna,KKR,52,6,6,17.0,164,4,4/30,41.0,9.37,26.25,0,0,2020
52,Jaydev Unadkat,RR,53,7,7,23.0,228,4,5/25,57.0,9.91,34.5,0,0,2020
53,Bhuvneshwar Kumar,SRH,54,4,4,14.0,99,3,5/19,33.0,6.98,28.33,0,0,2020
54,Glenn Maxwell,PBKS,55,13,7,21.0,169,3,2/15,56.33,8.04,42.0,0,0,2020
55,Harshal Patel,DC,56,5,5,15.0,134,3,5/27,44.66,8.93,30.0,0,0,2020
56,Tom Curran,RR,57,5,5,18.0,208,3,3/29,69.33,11.44,36.33,0,0,2020
57,Tushar Deshpande,DC,58,5,5,17.0,192,3,2/37,64.0,11.29,34.0,0,0,2020
58,Amit Mishra,DC,59,3,3,10.0,72,3,5/17,24.0,7.2,20.0,0,0,2020
59,Ankit Rajpoot,RR,60,6,6,17.0,199,2,5/14,99.5,11.7,51.0,0,0,2020
60,Siddarth Kaul,SRH,61,1,1,4.0,64,2,4/29,32.0,16.0,12.0,0,0,2020
61,Ben Stokes,RR,62,8,6,15.0,154,2,3/15,77.0,10.26,45.0,0,0,2020
62,Adam Zampa,RCB,63,3,3,11.0,92,2,6/19,46.0,8.36,33.0,0,0,2020
63,Abhishek Sharma,SRH,64,8,6,10.0,91,2,2/4,45.5,9.1,30.0,0,0,2020
64,Shahbaz Ahmed,RCB,65,2,2,6.0,44,2,3/7,22.0,7.33,18.0,0,0,2020
65,Jimmy Neesham,PBKS,66,5,5,15.0,148,2,3/12,74.0,9.86,45.0,0,0,2020
66,Mitchell Santner,CSK,67,2,2,7.0,53,2,2/13,26.5,7.57,21.0,0,0,2020
67,Dale Steyn,RCB,68,3,3,11.0,133,1,3/11,133.0,11.4,70.0,0,0,2020
68,Basil Thampi,SRH,69,1,1,4.0,46,1,3/29,46.0,11.5,24.0,0,0,2020
69,Imran Tahir,CSK,70,3,3,11.0,76,1,4/12,76.0,6.9,66.0,0,0,2020
70,Jayant Yadav,MI,71,2,2,7.0,43,1,1/23,43.0,6.14,42.0,0,0,2020
71,Andrew Tye,RR,72,1,1,4.0,50,1,5/17,50.0,12.5,24.0,0,0,2020
72,Josh Hazlewood,CSK,73,3,3,10.0,64,1,3/24,64.0,6.4,60.0,0,0,2020
73,Mohit Sharma,DC,74,1,1,4.0,45,1,4/14,45.0,11.25,24.0,0,0,2020
74,Krishnappa Gowtham,PBKS,75,2,2,8.0,84,1,2/12,84.0,10.5,48.0,0,0,2020
75,Moeen Ali,RCB,76,3,3,5.0,42,1,3/7,42.0,8.4,30.0,0,0,2020
76,Kuldeep Yadav,KKR,77,5,4,12.0,92,1,4/20,92.0,7.66,72.0,0,0,2020
77,Abdul Samad,SRH,78,12,3,7.0,96,1,1/41,96.0,13.71,42.0,0,0,2020
0,Harshal Patel,RCB,1,15,15,56.0,459,32,5/27,14.34,8.14,10.56,1,1,2021
1,Avesh Khan,DC,2,16,16,61.0,450,24,3/13,18.75,7.37,15.25,0,0,2021
2,Jasprit Bumrah,MI,3,14,14,55.0,410,21,4/14,19.52,7.45,15.71,0,0,2021
3,Shardul Thakur,CSK,4,16,16,60.0,527,21,3/19,25.09,8.8,17.09,0,0,2021
4,Mohammad Shami,PBKS,5,14,14,52.0,395,19,3/15,20.78,7.5,16.63,0,0,2021
5,Rashid Khan,SRH,6,14,14,56.0,375,18,3/19,20.83,6.69,18.66,0,0,2021
6,Arshdeep Singh,PBKS,7,12,12,41.0,342,18,5/32,19.0,8.27,13.77,0,1,2021
7,Varun Chakaravarthy,KKR,8,17,17,68.0,448,18,5/20,24.88,6.58,22.66,0,0,2021
8,Yuzvendra Chahal,RCB,9,15,15,53.0,374,18,4/25,20.77,7.05,17.66,0,0,2021
9,Jason Holder,SRH,10,8,8,32.0,247,16,4/52,15.43,7.75,11.93,1,0,2021
10,Sunil Narine,KKR,11,14,14,56.0,361,16,5/19,22.56,6.44,21.0,1,0,2021
11,Chris Morris,RR,12,11,11,41.0,376,15,4/23,25.06,9.17,16.4,1,0,2021
12,Axar Patel,DC,13,12,12,46.0,306,15,4/21,20.4,6.65,18.4,0,0,2021
13,Kagiso Rabada,DC,14,15,15,56.0,456,15,4/21,30.4,8.14,22.4,0,0,2021
14,Chetan Sakariya,RR,15,14,14,52.0,426,14,3/31,30.42,8.19,22.28,0,0,2021
15,Deepak Chahar,CSK,16,15,15,54.0,451,14,4/13,32.21,8.35,23.14,2,0,2021
16,Dwayne Bravo,CSK,17,11,11,33.0,263,14,4/22,18.78,7.81,14.42,0,0,2021
17,Mustafizur Rahman,RR,18,14,14,52.0,436,14,3/16,31.14,8.41,22.21,0,0,2021
18,Ravindra Jadeja,CSK,19,16,16,49.0,346,13,5/16,26.61,7.06,22.61,0,0,2021
19,Lockie Ferguson,KKR,20,8,8,30.0,224,13,3/15,17.23,7.46,13.84,0,0,2021
20,Trent Boult,MI,21,14,14,51.0,406,13,4/18,31.23,7.9,23.69,0,0,2021
21,Rahul Chahar,MI,22,11,11,43.0,318,13,4/27,24.46,7.39,19.84,1,0,2021
22,Ravi Bishnoi,PBKS,23,9,9,35.0,222,12,3/24,18.5,6.34,17.5,0,0,2021
23,Anrich Nortje,DC,24,8,8,30.0,187,12,3/33,15.58,6.16,15.16,0,0,2021
24,Prasidh Krishna,KKR,25,10,10,38.0,351,12,4/30,29.25,9.11,19.25,0,0,2021
25,Shivam Mavi,KKR,26,9,9,32.0,233,11,4/21,21.18,7.24,17.54,1,0,2021
26,Josh Hazlewood,CSK,27,9,9,35.0,293,11,3/24,26.63,8.37,19.09,0,0,2021
27,Mohammed Siraj,RCB,28,15,15,52.0,353,11,4/32,32.09,6.78,28.36,0,0,2021
28,Andre Russell,KKR,29,10,8,19.0,188,11,5/15,17.09,9.89,10.36,0,1,2021
29,Pat Cummins,KKR,30,7,7,27.0,237,9,4/34,26.33,8.83,17.88,0,0,2021
30,Sam Curran,CSK,31,9,9,33.0,328,9,4/11,36.44,9.93,22.0,0,0,2021
31,Kyle Jamieson,RCB,32,9,9,28.0,269,9,3/41,29.88,9.6,18.66,0,0,2021
32,Rahul Tewatia,RR,33,14,13,37.0,340,8,3/18,42.5,9.18,27.75,0,0,2021
33,Siddarth Kaul,SRH,34,8,8,30.0,247,7,4/29,35.28,8.23,25.71,0,0,2021
34,Nathan Coulter-Nile,MI,35,5,5,20.0,127,7,4/14,18.14,6.35,17.14,1,0,2021
35,Ravichandran Ashwin,DC,36,13,13,44.0,331,7,4/34,47.28,7.41,38.28,0,0,2021
36,Shahbaz Ahmed,RCB,37,11,6,14.0,92,7,3/7,13.14,6.57,12.0,0,0,2021
37,Amit Mishra,DC,38,4,4,14.0,109,6,5/17,18.16,7.78,14.0,1,0,2021
38,Bhuvneshwar Kumar,SRH,39,11,11,42.0,335,6,5/19,55.83,7.97,42.0,0,0,2021
39,Moeen Ali,CSK,40,15,10,25.0,161,6,3/7,26.83,6.35,25.33,0,0,2021
40,Lungi Ngidi,CSK,41,3,3,12.0,125,5,4/10,25.0,10.41,14.4,0,0,2021
41,Chris Woakes,DC,42,3,3,11.0,82,5,3/36,16.4,7.45,13.2,0,0,2021
42,Krunal Pandya,MI,43,13,12,33.0,265,5,3/14,53.0,7.98,39.8,0,0,2021
43,Jimmy Neesham,MI,44,3,3,9.0,66,5,3/12,13.2,7.33,10.8,0,0,2021
44,Harpreet Brar,PBKS,45,7,7,23.0,139,5,3/19,27.8,6.04,27.6,0,0,2021
45,Kieron Pollard,MI,46,14,9,13.0,95,5,4/44,19.0,7.21,15.8,0,0,2021
46,Khaleel Ahmed,SRH,47,7,7,27.0,219,5,3/21,43.8,8.11,32.4,0,0,2021
47,Abhishek Sharma,SRH,48,8,6,10.0,64,4,2/4,16.0,6.4,15.0,0,0,2021
48,Lalit Yadav,DC,49,7,5,14.0,101,4,2/13,25.25,7.21,21.0,0,0,2021
49,Jaydev Unadkat,RR,50,6,6,22.0,168,4,5/25,42.0,7.63,33.0,0,0,2021
50,Tom Curran,DC,51,3,3,11.0,104,4,3/29,26.0,9.17,17.0,0,0,2021
51,Chris Jordan,PBKS,52,4,4,12.0,96,4,4/11,24.0,8.0,18.0,0,0,2021
52,Kartik Tyagi,RR,53,4,4,14.0,124,4,2/29,31.0,8.85,21.0,0,0,2021
53,Moises Henriques,PBKS,54,5,5,10.0,45,4,3/12,11.25,4.5,15.0,0,0,2021
54,Dan Christian,RCB,55,9,9,16.0,155,4,2/10,38.75,9.3,25.0,0,0,2021
55,Riley Meredith,PBKS,56,5,5,17.0,169,4,1/29,42.25,9.94,25.5,0,0,2021
56,Shakib Al Hasan,KKR,57,8,8,26.0,187,4,3/17,46.75,7.19,39.0,0,0,2021
57,Washington Sundar,RCB,58,6,6,16.0,118,3,3/16,39.33,7.37,32.0,0,0,2021
58,Venkatesh Iyer,KKR,59,10,4,8.0,69,3,2/29,23.0,8.11,17.0,0,0,2021
59,Sandeep Sharma,SRH,60,7,7,23.0,203,3,4/20,67.66,8.63,47.0,0,0,2021
60,Adam Milne,MI,61,4,4,14.0,131,3,2/21,43.66,9.35,28.0,0,0,2021
61,Tim Southee,KKR,62,3,3,12.0,95,3,3/24,31.66,7.91,24.0,0,0,2021
62,Vijay Shankar,SRH,63,7,5,11.0,100,3,2/19,33.33,9.09,22.0,0,0,2021
63,Jhye Richardson,PBKS,64,3,3,11.0,117,3,2/41,39.0,10.63,22.0,0,0,2021
64,Glenn Maxwell,RCB,65,15,6,16.0,135,3,2/15,45.0,8.43,32.0,0,0,2021
65,George Garton,RCB,66,5,5,15.0,135,3,1/27,45.0,9.0,30.0,0,0,2021
66,T Natarajan,SRH,67,2,2,8.0,69,2,2/24,34.5,8.62,24.0,0,0,2021
67,Jayant Yadav,MI,68,5,5,17.0,130,2,1/23,65.0,7.64,51.0,0,0,2021
68,Imran Tahir,CSK,69,1,1,4.0,16,2,4/12,8.0,4.0,12.0,0,0,2021
69,Umran Malik,SRH,70,3,3,12.0,96,2,1/21,48.0,8.0,36.0,0,0,2021
70,Marco Jansen,MI,71,2,2,6.0,45,2,2/28,22.5,7.5,18.0,0,0,2021
71,Marcus Stoinis,DC,72,10,8,11.0,117,2,4/15,58.5,10.47,33.5,0,0,2021
72,Mohammad Nabi,SRH,73,3,3,8.0,86,2,4/11,43.0,10.75,24.0,0,0,2021
73,Mujeeb Ur Rahman,SRH,74,1,1,4.0,29,2,3/27,14.5,7.25,12.0,0,0,2021
74,Deepak Hooda,PBKS,75,12,7,16.0,136,2,2/16,68.0,8.5,48.0,0,0,2021
75,Fabian Allen,PBKS,76,4,3,11.0,90,1,1/22,90.0,8.18,66.0,0,0,2021
76,Glenn Phillips,RR,77,3,2,2.0,20,1,1/17,20.0,10.0,12.0,0,0,2021
77,Piyush Chawla,MI,78,1,1,4.0,38,1,4/17,38.0,9.5,24.0,0,0,2021
78,Ishan Porel,PBKS,79,1,1,4.0,39,1,1/39,39.0,9.75,24.0,0,0,2021
79,Daniel Sams,RCB,80,2,2,6.0,39,1,1/24,39.0,6.5,36.0,0,0,2021
80,Ishant Sharma,DC,81,3,3,12.0,97,1,5/12,97.0,8.08,72.0,0,0,2021
81,Kane Richardson,RCB,82,1,1,3.0,29,1,3/13,29.0,9.66,18.0,0,0,2021
82,KM Asif,CSK,83,1,1,2.0,18,1,2/43,18.0,8.3,13.0,0,0,2021
83,Shahbaz Nadeem,SRH,84,1,1,4.0,36,1,3/16,36.0,9.0,24.0,0,0,2021
84,Lukman Meriwala,DC,85,1,1,3.0,32,1,1/32,32.0,10.66,18.0,0,0,2021
85,Mahipal Lomror,RR,86,4,4,7.0,47,1,1/22,47.0,6.71,42.0,0,0,2021
86,Riyan Parag,RR,87,11,6,6.0,73,1,1/10,73.0,11.83,37.0,0,0,2021
87,Murugan Ashwin,PBKS,88,3,3,11.0,97,1,3/21,97.0,8.81,66.0,0,0,2021
88,Nathan Ellis,PBKS,89,3,3,12.0,98,1,1/20,98.0,8.16,72.0,0,0,2021
0,Yuzvendra Chahal,RR,1,17,17,68.0,527,27,40/5,19.51,7.75,15.11,1,1,2022
1,Wanindu Hasaranga,RCB,2,16,16,57.0,430,26,18/5,16.53,7.54,13.15,1,1,2022
2,Kagiso Rabada,PBKS,3,13,13,48.0,406,23,33/4,17.65,8.45,12.52,2,0,2022
3,Umran Malik,SRH,4,14,14,49.1,444,22,25/5,20.18,9.03,13.4,1,1,2022
4,Kuldeep Yadav,DC,5,14,14,49.4,419,21,14/4,19.95,8.43,14.19,2,0,2022
5,Mohammad Shami,GT,6,16,16,61.0,488,20,25/3,24.4,8.0,18.3,0,0,2022
6,Josh Hazlewood,RCB,7,12,12,46.3,377,20,25/4,18.85,8.1,13.95,1,0,2022
7,Rashid Khan,GT,8,16,16,63.5,421,19,24/4,22.15,6.59,20.15,1,0,2022
8,Harshal Patel,RCB,9,15,15,53.3,410,19,34/4,21.57,7.66,16.89,1,0,2022
9,Prasidh Krishna,RR,10,17,17,66.3,551,19,22/3,29.0,8.28,21.0,0,0,2022
10,Avesh Khan,LSG,11,13,13,47.4,416,18,24/4,23.11,8.72,15.88,1,0,2022
11,T Natarajan,SRH,12,11,11,43.0,406,18,10/3,22.55,9.44,14.33,0,0,2022
12,Andre Russell,KKR,13,14,13,28.1,278,17,5/4,16.35,9.86,9.94,1,0,2022
13,Umesh Yadav,KKR,14,12,12,48.0,339,16,23/4,21.18,7.06,18.0,1,0,2022
14,Trent Boult,RR,15,16,16,62.0,492,16,18/2,30.75,7.93,23.25,0,0,2022
15,Khaleel Ahmed,DC,16,10,10,39.1,315,16,25/3,19.68,8.04,14.68,0,0,2022
16,Dwayne Bravo,CSK,17,10,10,34.2,299,16,20/3,18.68,8.7,12.87,0,0,2022
17,Mukesh Choudhary,CSK,18,13,13,45.3,424,16,46/4,26.5,9.31,17.06,1,0,2022
18,Jasprit Bumrah,MI,19,14,14,53.2,383,15,10/5,25.53,7.18,21.33,0,1,2022
19,Shardul Thakur,DC,20,14,14,48.2,473,15,36/4,31.53,9.78,19.33,1,0,2022
20,Mohsin Khan,LSG,21,9,9,33.0,197,14,16/4,14.07,5.96,14.14,1,0,2022
21,Rahul Chahar,PBKS,22,13,13,46.4,360,14,25/3,25.71,7.71,20.0,0,0,2022
22,Tim Southee,KKR,23,9,9,35.0,275,14,20/3,19.64,7.85,15.0,0,0,2022
23,Jason Holder,LSG,24,12,12,41.3,391,14,31/3,27.92,9.42,17.78,0,0,2022
24,Ravi Bishnoi,LSG,25,14,14,54.0,456,13,22/2,35.07,8.44,24.92,0,0,2022
25,Daniel Sams,MI,26,11,11,42.0,370,13,30/4,28.46,8.8,19.38,1,0,2022
26,Bhuvneshwar Kumar,SRH,27,14,14,52.1,383,12,22/3,31.91,7.34,26.08,0,0,2022
27,Maheesh Theekshana,CSK,28,9,9,35.0,261,12,33/4,21.75,7.45,17.5,1,0,2022
28,Ravichandran Ashwin,RR,29,17,17,67.0,503,12,17/3,41.91,7.5,33.5,0,0,2022
29,Lockie Ferguson,GT,30,13,13,47.4,427,12,28/4,35.58,8.95,23.83,1,0,2022
30,Obed McCoy,RR,31,7,7,25.5,237,11,23/3,21.54,9.17,14.09,0,0,2022
31,Yash Dayal,GT,32,9,9,32.0,296,11,40/3,26.9,9.25,17.45,0,0,2022
32,Krunal Pandya,LSG,33,14,12,38.0,265,10,19/3,26.5,6.97,22.8,0,0,2022
33,Arshdeep Singh,PBKS,34,14,14,50.0,385,10,37/3,38.5,7.7,30.0,0,0,2022
34,Sunil Narine,KKR,35,14,14,56.0,312,9,21/2,34.66,5.57,37.33,0,0,2022
35,Murugan Ashwin,MI,36,8,8,29.0,228,9,14/2,25.33,7.86,19.33,0,0,2022
36,Dushmantha Chameera,LSG,37,12,12,44.0,384,9,17/2,42.66,8.72,29.33,0,0,2022
37,Anrich Nortje,DC,38,6,6,22.2,217,9,42/3,24.11,9.71,14.88,0,0,2022
38,Mohammed Siraj,RCB,39,15,15,51.0,514,9,30/2,57.11,10.07,34.0,0,0,2022
39,Moeen Ali,CSK,40,10,10,23.5,158,8,13/3,19.75,6.62,17.87,0,0,2022
40,Hardik Pandya,GT,41,15,10,30.3,222,8,17/3,27.75,7.27,22.87,0,0,2022
41,Mustafizur Rahman,DC,42,8,8,32.0,244,8,18/3,30.5,7.62,24.0,0,0,2022
42,Riley Meredith,MI,43,8,8,28.0,236,8,24/2,29.5,8.42,21.0,0,0,2022
43,Kuldeep Sen,RR,44,7,7,25.1,237,8,20/4,29.62,9.41,18.87,1,0,2022
44,Jagadeesha Suchith,SRH,45,5,5,18.0,140,7,12/2,20.0,7.77,15.42,0,0,2022
45,Marco Jansen,SRH,46,8,8,32.0,274,7,25/3,39.14,8.56,27.42,0,0,2022
46,Alzarri Joseph,GT,47,9,9,30.0,264,7,34/2,37.71,8.8,25.71,0,0,2022
47,Pat Cummins,KKR,48,5,5,19.5,212,7,22/3,30.28,10.68,17.0,0,0,2022
48,Glenn Maxwell,RCB,49,13,10,24.0,165,6,22/2,27.5,6.87,24.0,0,0,2022
49,Axar Patel,DC,50,13,13,43.0,321,6,10/2,53.5,7.46,43.0,0,0,2022
50,Sai Kishore,GT,51,5,5,16.0,121,6,7/2,20.16,7.56,16.0,0,0,2022
51,Rishi Dhawan,PBKS,52,6,6,19.0,156,6,36/2,26.0,8.21,19.0,0,0,2022
52,Varun Chakaravarthy,KKR,53,11,11,39.0,332,6,22/1,55.33,8.51,39.0,0,0,2022
53,Washington Sundar,SRH,54,9,8,28.0,239,6,21/2,39.83,8.53,28.0,0,0,2022
54,Liam Livingstone,PBKS,55,14,12,23.0,202,6,27/3,33.66,8.78,23.0,0,0,2022
55,Ramandeep Singh,MI,56,5,3,6.0,54,6,20/3,9.0,9.0,6.0,0,0,2022
56,Jaydev Unadkat,MI,57,5,5,20.0,190,6,32/2,31.66,9.5,20.0,0,0,2022
57,Dwaine Pretorius,CSK,58,6,6,21.0,210,6,30/2,35.0,10.0,21.0,0,0,2022
58,Tymal Mills,MI,59,5,5,17.0,190,6,35/3,31.66,11.17,17.0,0,0,2022
59,Odean Smith,PBKS,60,6,6,15.0,178,6,30/4,29.66,11.86,15.0,1,0,2022
60,Ravindra Jadeja,CSK,61,10,10,33.0,248,5,39/3,49.6,7.51,39.6,0,0,2022
61,Kumar Kartikeya Singh,MI,62,4,4,13.0,102,5,22/2,20.4,7.84,15.6,0,0,2022
62,Krishnappa Gowtham,LSG,63,4,4,12.0,99,5,30/2,19.8,8.25,14.4,0,0,2022
63,Basil Thampi,MI,64,5,5,16.0,152,5,35/3,30.4,9.5,19.2,0,0,2022
64,Shivam Mavi,KKR,65,6,6,22.0,227,5,33/1,45.4,10.31,26.4,0,0,2022
65,Akash Deep,RCB,66,5,5,18.5,205,5,45/3,41.0,10.88,22.6,0,0,2022
66,Mitchell Santner,CSK,67,6,6,19.0,130,4,15/1,32.5,6.84,28.5,0,0,2022
67,Simarjeet Singh,CSK,68,6,6,18.0,138,4,27/2,34.5,7.66,27.0,0,0,2022
68,Lalit Yadav,DC,69,12,8,18.0,150,4,11/2,37.5,8.33,27.0,0,0,2022
69,Mitchell Marsh,DC,70,8,4,12.0,102,4,25/2,25.5,8.5,18.0,0,0,2022
70,Kieron Pollard,MI,71,11,6,14.0,125,4,8/2,31.25,8.92,21.0,0,0,2022
71,Harpreet Brar,PBKS,72,5,5,16.0,146,4,26/3,36.5,9.12,24.0,0,0,2022
72,Shahbaz Ahmed,RCB,73,16,14,35.0,336,4,26/2,84.0,9.6,52.5,0,0,2022
73,Marcus Stoinis,LSG,74,11,5,7.0,79,4,23/3,19.75,11.28,10.5,0,0,2022
74,Pradeep Sangwan,GT,75,3,3,9.0,65,3,19/2,21.66,7.22,18.0,0,0,2022
75,Chetan Sakariya,DC,76,3,3,11.0,84,3,23/2,28.0,7.63,22.0,0,0,2022
76,Nathan Ellis,PBKS,77,2,2,6.0,55,3,40/3,18.33,9.16,12.0,0,0,2022
77,Vaibhav Arora,PBKS,78,5,5,17.5,164,3,21/2,54.66,9.19,35.66,0,0,2022
78,Romario Shepherd,SRH,79,3,3,9.0,98,3,42/2,32.66,10.88,18.0,0,0,2022
79,Navdeep Saini,RR,80,2,2,6.0,72,3,36/2,24.0,12.0,12.0,0,0,2022
80,Ayush Badoni,LSG,81,13,2,2.0,11,2,5/1,5.5,5.5,6.0,0,0,2022
81,Prashant Solanki,CSK,82,2,2,6.0,38,2,20/2,19.0,6.33,18.0,0,0,2022
82,Matheesha Pathirana,CSK,83,2,2,6.5,52,2,24/2,26.0,7.6,20.5,0,0,2022
83,Sandeep Sharma,PBKS,84,5,5,20.0,153,2,18/1,76.5,7.65,60.0,0,0,2022
84,Hrithik Shokeen,MI,85,5,5,15.0,127,2,47/2,63.5,8.46,45.0,0,0,2022
85,Fazalhaq Farooqi,SRH,86,3,3,12.0,110,2,32/2,55.0,9.16,36.0,0,0,2022
86,Andrew Tye,LSG,87,3,3,11.0,107,2,40/2,53.5,9.72,33.0,0,0,2022
87,Varun Aaron,GT,88,2,2,5.0,52,2,45/2,26.0,10.4,15.0,0,0,2022
88,Chris Jordan,CSK,89,4,4,12.5,135,2,23/2,67.5,10.51,38.5,0,0,2022
89,Darshan Nalkande,GT,90,2,2,5.1,59,2,37/2,29.5,11.41,15.5,0,0,2022
90,David Willey,RCB,91,4,4,11.0,72,1,29/1,72.0,6.54,66.0,0,0,2022
91,Anukul Roy,KKR,92,2,2,7.0,55,1,28/1,55.0,7.85,42.0,0,0,2022
92,Mayank Markande,MI,93,2,2,7.0,57,1,26/1,57.0,8.14,42.0,0,0,2022
93,Tushar Deshpande,CSK,94,2,2,7.0,63,1,40/1,63.0,9.0,42.0,0,0,2022
94,Kartik Tyagi,SRH,95,2,2,8.0,79,1,42/1,79.0,9.87,48.0,0,0,2022
95,Harshit Rana,KKR,96,2,2,5.0,51,1,24/1,51.0,10.2,30.0,0,0,2022
96,Aiden Markram,SRH,97,14,4,6.0,64,1,8/1,64.0,10.66,36.0,0,0,2022
97,Deepak Hooda,LSG,98,15,2,4.0,43,1,31/1,43.0,10.75,24.0,0,0,2022
98,Shreyas Gopal,SRH,99,1,1,3.0,34,1,34/1,34.0,11.33,18.0,0,0,2022
